"filename", "language", "PHP", "JavaScript", "Markdown", "XML", "JSON", "Batch", "PostCSS", "comment", "blank", "total"
"c:\laragon\www\laravelshare\README.md", "Markdown", 0, 0, 291, 0, 0, 0, 0, 0, 88, 379
"c:\laragon\www\laravelshare\app\Console\Commands\DeleteExpiredFiles.php", "PHP", 61, 0, 0, 0, 0, 0, 0, 17, 19, 97
"c:\laragon\www\laravelshare\app\Console\Kernel.php", "PHP", 16, 0, 0, 0, 0, 0, 0, 7, 6, 29
"c:\laragon\www\laravelshare\app\Exceptions\Handler.php", "PHP", 21, 0, 0, 0, 0, 0, 0, 21, 7, 49
"c:\laragon\www\laravelshare\app\Http\Controllers\Auth\AuthenticatedSessionController.php", "PHP", 29, 0, 0, 0, 0, 0, 0, 9, 11, 49
"c:\laragon\www\laravelshare\app\Http\Controllers\Auth\ConfirmablePasswordController.php", "PHP", 29, 0, 0, 0, 0, 0, 0, 6, 7, 42
"c:\laragon\www\laravelshare\app\Http\Controllers\Auth\EmailVerificationNotificationController.php", "PHP", 17, 0, 0, 0, 0, 0, 0, 3, 6, 26
"c:\laragon\www\laravelshare\app\Http\Controllers\Auth\EmailVerificationPromptController.php", "PHP", 16, 0, 0, 0, 0, 0, 0, 3, 4, 23
"c:\laragon\www\laravelshare\app\Http\Controllers\Auth\NewPasswordController.php", "PHP", 40, 0, 0, 0, 0, 0, 0, 14, 8, 62
"c:\laragon\www\laravelshare\app\Http\Controllers\Auth\PasswordController.php", "PHP", 21, 0, 0, 0, 0, 0, 0, 3, 6, 30
"c:\laragon\www\laravelshare\app\Http\Controllers\Auth\PasswordResetLinkController.php", "PHP", 27, 0, 0, 0, 0, 0, 0, 11, 7, 45
"c:\laragon\www\laravelshare\app\Http\Controllers\Auth\RegisteredUserController.php", "PHP", 35, 0, 0, 0, 0, 0, 0, 8, 9, 52
"c:\laragon\www\laravelshare\app\Http\Controllers\Auth\VerifyEmailController.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 3, 6, 29
"c:\laragon\www\laravelshare\app\Http\Controllers\Controller.php", "PHP", 9, 0, 0, 0, 0, 0, 0, 0, 4, 13
"c:\laragon\www\laravelshare\app\Http\Controllers\FileController.php", "PHP", 191, 0, 0, 0, 0, 0, 0, 18, 53, 262
"c:\laragon\www\laravelshare\app\Http\Controllers\ProfileController.php", "PHP", 38, 0, 0, 0, 0, 0, 0, 9, 14, 61
"c:\laragon\www\laravelshare\app\Http\Controllers\SecurityController.php", "PHP", 332, 0, 0, 0, 0, 0, 0, 13, 61, 406
"c:\laragon\www\laravelshare\app\Http\Kernel.php", "PHP", 41, 0, 0, 0, 0, 0, 0, 21, 7, 69
"c:\laragon\www\laravelshare\app\Http\Middleware\Authenticate.php", "PHP", 11, 0, 0, 0, 0, 0, 0, 3, 4, 18
"c:\laragon\www\laravelshare\app\Http\Middleware\EncryptCookies.php", "PHP", 8, 0, 0, 0, 0, 0, 0, 6, 4, 18
"c:\laragon\www\laravelshare\app\Http\Middleware\PreventRequestsDuringMaintenance.php", "PHP", 8, 0, 0, 0, 0, 0, 0, 6, 4, 18
"c:\laragon\www\laravelshare\app\Http\Middleware\RedirectIfAuthenticated.php", "PHP", 20, 0, 0, 0, 0, 0, 0, 5, 6, 31
"c:\laragon\www\laravelshare\app\Http\Middleware\SecurityHeaders.php", "PHP", 34, 0, 0, 0, 0, 0, 0, 6, 8, 48
"c:\laragon\www\laravelshare\app\Http\Middleware\TrimStrings.php", "PHP", 11, 0, 0, 0, 0, 0, 0, 5, 4, 20
"c:\laragon\www\laravelshare\app\Http\Middleware\TrustHosts.php", "PHP", 12, 0, 0, 0, 0, 0, 0, 5, 4, 21
"c:\laragon\www\laravelshare\app\Http\Middleware\TrustProxies.php", "PHP", 14, 0, 0, 0, 0, 0, 0, 10, 5, 29
